cik,name,tags,score,rev_cur,rev_prev,op_cur,op_prev,ni_cur,ni_prev
1711279,"Krystal Biotech, Inc.",S3,0.467,119222000,96042000,58417000,39399000,54768000,38333000
824142,"AAON, INC.",S1,0.466,626976000,311567000,68884000,23582000,56659000,15487000
1720116,"RED VIOLET, INC.",S3,0.466,26718000,21774000,6095000,2751000,4960000,2686000
913241,"STEVEN MADDEN, LTD.",S2,0.465,662914000,556090000,39319000,-40258000,27727000,-39477000
1758021,Karat Packaging Inc.,S3,0.464,136302000,123986000,37602000,16550000,29331000,10934000
2070849,"BillionToOne, Inc.",S2,0.464,109448000,66573000,5503000,-1627000,8054000,-246000
1439288,ZURN ELKAY WATER SOLUTIONS CORPORATION,S3,0.461,491000000,444500000,152300000,77600000,113300000,50500000
99780,TRINITY INDUSTRIES INC,S3,0.461,485100000,506200000,199800000,95400000,98300000,14100000
1677576,"Innovative Industrial Properties, Inc.",S3,0.459,63315000,62891000,41448000,28898000,43852000,26024000
1415404,EchoStar Corporation,S2,0.45,3576164000,3724959000,512938000,-213408000,8462372000,-306132000
1699150,Ingersoll Rand Inc.,S3,0.45,2048800000,1887900000,380300000,76400000,256800000,-115300000
1883085,Pagaya Technologies Ltd.,S3,0.448,365639000,317714000,105799000,56469000,45273000,16655000
47111,HERSHEY CO,S3,0.445,2787306000,2614718000,642641000,192811000,457665000,62719000
33488,"ESCALADE, INCORPORATED",S3,0.444,57702000,54333000,11934000,2621000,9431000,1825000
1902733,"nCino, Inc.",S2,0.443,161001000,148815000,13614000,-9296000,5081000,-15257000
39092,FRIEDMAN INDUSTRIES INC,S1,0.44,239971000,134777000,21034000,7043000,12784000,5028000
29989,OMNICOM GROUP INC.,S1,0.44,6562500000,4015600000,922500000,439200000,584800000,257600000
1529628,"SMART SAND, INC.",S2,0.439,115050000,85770000,10051000,-77000,10168000,21396000
1057352,"CoStar Group, Inc.",S2,0.437,925000000,781000000,76000000,-27000000,55000000,6000000
215466,"COEUR MINING, INC.",S1,0.435,1085592000,480650000,216514000,140108000,121853000,70726000
1698514,NATIONAL ENERGY SERVICES REUNITED CORP.,S1,0.435,520752000,327368000,64841000,27091000,44017000,15201000
712515,ELECTRONIC ARTS INC.,S3,0.433,1986000000,1671000000,513000000,271000000,397000000,201000000
1806931,RAYONIER INC.,S1,0.433,396116000,106194000,34615000,14545000,19137000,408708000
1499200,"Sabine Pass Liquefaction, LLC",S3,0.433,2533000000,2406000000,1056000000,648000000,978000000,566000000
811596,KAISER ALUMINUM CORPORATION,S1,0.433,1256600000,823100000,133700000,38000000,96800000,23200000
2040127,KARMAN HOLDINGS INC.,S1,0.429,182063000,115097000,34829000,20104000,14032000,6807000
356309,NEW JERSEY RESOURCES CORPORATION,S2,0.427,257985000,234836000,31892000,-1062000,9689000,-15051000
97476,TEXAS INSTRUMENTS INCORPORATED,S3,0.427,5463000000,4448000000,2310000000,1563000000,1980000000,1295000000
1748824,Acadian Asset Management Inc.,S1,0.426,185100000,127400000,32400000,16200000,27300000,10100000
1045610,"Prologis, Inc.",S3,0.425,2425452000,2183869000,1251336000,912712000,1062191000,571229000
1782170,"Remitly Global, Inc.",S3,0.424,495156000,411852000,66681000,14643000,205908000,6536000
1692787,KINETIK HOLDINGS INC.,S1,0.423,581440000,426738000,133977000,77455000,49539000,23645000
102752,VSE CORPORATION,S1,0.421,449137000,272139000,48958000,22513000,28523000,3197000
1023024,"ANI PHARMACEUTICALS, INC",S3,0.42,266044000,211371000,40460000,13892000,24711000,8549000
1710366,"Core Natural Resources, Inc.",S2,0.42,1141014000,1102361000,155758000,-19253000,126467000,-36556000
1142417,"NEXSTAR MEDIA GROUP, INC.",S1,0.419,1993000000,1229000000,362000000,213000000,120000000,97000000
866829,"HELIX ENERGY SOLUTIONS GROUP, INC.",S2,0.417,304016000,251682000,26715000,-3042000,22720000,-2598000
1801170,"CLOVER HEALTH INVESTMENTS, CORP. /DE",S2,0.413,743167000,477620000,28001000,-10559000,28001000,-10578000
1035983,"COMFORT SYSTEMS USA, INC.",S1,0.412,3265656000,2173319000,557966000,299873000,441602000,230848000
1819796,GCM Grosvenor Inc.,S3,0.412,134339000,119657000,35485000,19245000,9564000,15437000
1552275,SUNOCO LP,S1,0.41,14259000000,5390000000,583000000,203000000,,86000000
2089661,SUNOCOCORP LLC,S1,0.41,14259000000,5390000000,583000000,203000000,39000000,0
1579877,OUTFRONT Media Inc.,S3,0.408,522500000,460200000,116100000,56200000,77500000,19500000
1393883,"DHI Group, Inc.",S2,0.406,31341000,32027000,3812000,-1265000,2597000,-841000
704532,ONTO INNOVATION INC.,S1,0.406,343129000,253597000,63550000,32247000,60102000,33911000
1433270,ANTERO RESOURCES CORPORATION,S3,0.402,1559842000,1297493000,375459000,204883000,,
883241,SYNOPSYS INC,S1,0.4,2476822000,1739737000,357491000,165269000,545800000,242509000
1323885,"AtriCure, Inc.",S2,0.397,153604000,136139000,9665000,-6192000,8955000,-6190000
1237831,"GLOBUS MEDICAL, INC.",S3,0.396,789612000,745342000,182432000,76109000,151569000,202846000
1563190,"COMPASS, INC.",S1,0.394,4306000000,2060000000,124000000,39000000,92000000,39000000
1606909,PANGAEA LOGISTICS SOLUTIONS LTD.,S3,0.391,187119000,156689000,21345000,3654000,10201000,-2742000
897723,Sanmina Corporation,S1,0.391,3464016000,2041562000,221225000,95877000,117129000,68616000
1464790,"BRC Group Holdings, Inc.",S3,0.389,185877000,188166000,38195000,10815000,20549000,139471000
1630805,"BABCOCK & WILCOX ENTERPRISES, INC",S1,0.389,319716000,138856000,11769000,7016000,14255000,-58492000
1078075,"NETSCOUT SYSTEMS, INC.",S2,0.388,210423000,186747000,14477000,-6564000,21835000,-3679000
1109242,HANMI FINANCIAL CORPORATION,S3,0.387,72205000,65210000,23505000,15117000,23505000,15117000
2012383,"BlackRock, Inc.",S1,0.386,7084000000,5423000000,2461000000,1731000000,1914000000,1593000000
1159152,JAMES HARDIE INDUSTRIES plc,S1,0.385,1474600000,899900000,217700000,138600000,104300000,62600000
1089748,Huntsman Corporation,S2,0.384,1663000000,1458000000,37000000,-120000000,-6000000,-158000000
895456,"ROCKY BRANDS, INC.",S3,0.383,118368000,105647000,19685000,7156000,13881000,3608000
1611052,"Procore Technologies, Inc.",S2,0.382,375207000,323919000,4327000,-30267000,16922000,-21089000
1070235,BlackBerry Limited,S3,0.381,152900000,121700000,15300000,2000000,8500000,1900000
102729,"Valmont Industries, Inc.",S3,0.378,1118689000,1050548000,166111000,29276000,119918000,-4020000
2000178,Loar Holdings Inc.,S1,0.378,171579000,123123000,41852000,27317000,16742000,16713000
1276187,ENERGY TRANSFER LP,S1,0.378,34334000000,19242000000,3574000000,2309000000,2088000000,1163000000
1870600,"Solo Brands, Inc.",S2,0.378,88460000,92257000,3513000,-9835000,,
1413447,NXP Semiconductors N.V.,S3,0.376,3496000000,2926000000,1071000000,687000000,767000000,445000000
2048519,Aebi Schmidt Holding AG,S1,0.375,496408000,277743000,27040000,13859000,10510000,-2310000
1030894,CELESTICA INC.,S1,0.372,4698600000,2893400000,458300000,272500000,368800000,211000000
912562,"GIBRALTAR INDUSTRIES, INC.",S1,0.371,509547000,309517000,59819000,39506000,8190000,26004000
2052959,Lionsgate Studios Corp.,S2,0.37,776600000,525900000,25600000,-10600000,-28800000,-108900000
80172,NATIONAL PRESTO INDUSTRIES INC,S3,0.369,146596000,120449000,19414000,6096000,15862000,5152000
1851003,ZETA GLOBAL HOLDINGS CORP.,S2,0.368,442766000,308442000,16924000,-5105000,8173000,-12814000
1062231,DAUCH CORPORATION,S1,0.368,2955600000,1536200000,99700000,55000000,1000000,39300000
70318,TENET HEALTHCARE CORP,S3,0.367,5628000000,5271000000,1501000000,823000000,,
1481582,RYERSON HOLDING CORPORATION,S1,0.367,2006200000,1169300000,34400000,5800000,15500000,1900000
1504461,NGL Energy Partners LP,S1,0.366,989992000,622156000,145319000,97450000,78732000,68922000
885590,Bausch Health Companies Inc.,S3,0.365,2852000000,2530000000,740000000,444000000,258000000,148000000
799233,HEARTLAND EXPRESS INC,S2,0.365,184126000,210387000,16549000,-12419000,10583000,-10855000
1837240,SYMBOTIC INC.,S2,0.364,720838000,592121000,32895000,-25805000,11673000,-3923000
789460,WORLD KINECT CORPORATION,S2,0.361,13591200000,9043300000,96100000,-345100000,48400000,-339400000
1793659,"Rush Street Interactive, Inc.",S1,0.361,393776000,269217000,46228000,24324000,11546000,16688000
1022321,GENESIS ENERGY LP,S1,0.356,531995000,377348000,105436000,67715000,42857000,-406000
1561032,"National Healthcare Properties, Inc.",S2,0.355,87530000,85332000,5086000,-5518000,,
1845257,"LifeStance Health Group, Inc.",S2,0.354,435354000,345311000,30653000,-2950000,23612000,-3791000
1585389,"SmartStop Self Storage REIT, Inc.",S3,0.349,79276000,66816000,17875000,10263000,11246000,-8362000
1590955,"Paycom Software, Inc.",S3,0.348,531200000,483600000,168500000,112300000,107400000,89500000
1581990,PLAINS GP HOLDINGS LP,S1,0.346,17693000000,10642000000,397000000,237000000,389000000,30000000
1070423,PLAINS ALL AMERICAN PIPELINE LP,S1,0.345,17693000000,10642000000,398000000,239000000,1830000000,210000000
1596961,"RideNow Group, Inc.",S2,0.342,296800000,299900000,17900000,-18800000,6500000,-32200000
1411579,"AMC ENTERTAINMENT HOLDINGS, INC.",S3,0.339,1596700000,1397900000,238100000,92600000,-11400000,-4700000
1069183,"Axon Enterprise, Inc.",S2,0.339,904389000,668538000,46778000,-1036000,29427000,36117000
2105398,"CSQUARE, INC.",S3,0.338,215613000,212677000,59163000,33510000,-48827000,-13928000
1680062,"ACM Research, Inc.",S1,0.333,292919000,215372000,49743000,31694000,88984000,29760000
1048268,"IES Holdings, Inc.",S1,0.33,1242697000,890158000,178547000,111902000,,
1492869,SL GREEN REALTY CORP,S3,0.33,264001000,241916000,159934000,129280000,-22766000,-7355000
1410384,"Q2 Holdings, Inc.",S3,0.329,219765000,195148000,29341000,9840000,29858000,11764000
1057060,"MARINEMAX, INC.",S2,0.328,611258000,657159000,37219000,-41540000,15361000,-52146000
1314727,"SONOS, INC.",S2,0.326,375260000,344764000,31534000,-2929000,29853000,-3379000
836690,"INNOVATIVE SOLUTIONS AND SUPPORT, INC.",S3,0.325,26731981,24144832,6028626,3514332,4489323,2443814
