basDt,srtnCd,isinCd,crno,mrktCtg,itmsNm,corpNm
20260827,A0011A0,KR70011A0009,1601110269020,KOSDAQ,액스비스,(주)액스비스
20260827,A0011T0,KR70011T0008,1701110604795,KOSDAQ,채비,채비(주)
20260827,A001200,KR7001200005,1101110007826,KOSPI,유진투자증권,유진투자증권(주)
20260827,A001210,KR7001210004,1101110028541,KOSPI,금호전기,금호전기(주)
20260827,A001230,KR7001230002,1101110031338,KOSPI,동국홀딩스,동국홀딩스(주)
20260827,A001250,KR7001250000,1101110031479,KOSPI,GS글로벌,(주)지에스글로벌
20260827,A001260,KR7001260009,1101110017411,KOSPI,남광토건,남광토건(주)
20260827,A001270,KR7001270008,1101110031510,KOSPI,부국증권,부국증권(주)
20260827,A001290,KR7001290006,1101110031560,KOSPI,상상인증권,(주)상상인증권
20260827,A001340,KR7001340009,1101110003709,KOSPI,PKC,피케이씨(주)
20260827,A001360,KR7001360007,1101110032568,KOSPI,삼성제약,삼성제약(주)
20260827,A001380,KR7001380005,1615110000037,KOSPI,SG글로벌,(주)SG글로벌
20260827,A001390,KR7001390004,1243110008999,KOSPI,KG케미칼,KG케미칼(주)
20260827,A0013V0,KR70013V0002,1801110991314,KOSDAQ,삼진식품,삼진식품(주)
20260827,A001420,KR7001420009,1101110086771,KOSPI,태원물산,태원물산(주)
20260827,A001430,KR7001430008,1101110035794,KOSPI,세아베스틸지주,(주)세아베스틸지주
20260827,A001440,KR7001440007,1101110035835,KOSPI,대한전선,대한전선(주)
20260827,A001450,KR7001450006,1101110035893,KOSPI,현대해상,현대해상화재보험(주)
20260827,A001460,KR7001460005,1101110005995,KOSPI,BYC,(주)BYC
20260827,A001470,KR7001470004,1101110041634,KOSPI,삼부토건,삼부토건(주)
20260827,A001500,KR7001500008,1101110019962,KOSPI,현대차증권,현대차증권(주)
20260827,A001510,KR7001510007,1101110037112,KOSPI,SK증권,SK증권(주)
20260827,A001520,KR7001520006,1101110005333,KOSPI,동양,(주)동양
20260827,A001530,KR7001530005,1101110019219,KOSPI,DI동일,디아이동일(주)
20260827,A001540,KR7001540004,1101110026420,KOSDAQ,안국약품,안국약품(주)
20260827,A001550,KR7001550003,1101110086599,KOSPI,조비,(주)조비
20260827,A001560,KR7001560002,1801110021806,KOSPI,제일연마,제일연마공업(주)
20260827,A001570,KR7001570001,1801110003101,KOSPI,금양,(주)금양
20260827,A0015G0,KR70015G0009,1501110038584,KOSDAQ,그린광학,(주)그린광학
20260827,A0015N0,KR70015N0000,1101112154667,KOSDAQ,아로마티카,주식회사 아로마티카
20260827,A0015S0,KR70015S0005,1601110431299,KOSDAQ,페스카로,주식회사 페스카로
20260827,A001620,KR7001620004,1101110028939,KOSPI,케이비아이동국실업,케이비아이동국실업(주)
20260827,A001630,KR7001630003,1101110028955,KOSPI,종근당홀딩스,(주)종근당홀딩스
20260827,A001680,KR7001680008,1101110327125,KOSPI,대상,대상(주)
20260827,A001720,KR7001720002,1101110006612,KOSPI,신영증권,신영증권(주)
20260827,A001740,KR7001740000,1301110005199,KOSPI,SK네트웍스,SK네트웍스(주)
20260827,A001750,KR7001750009,1101110026834,KOSPI,한양증권,한양증권(주)
20260827,A001770,KR7001770007,1101110028632,KOSPI,SHD,(주)신화다이나믹스
20260827,A001780,KR7001780006,1601110002313,KOSPI,알루코,(주)알루코
20260827,A001790,KR7001790005,1201110018368,KOSPI,대한제당,대한제당(주)
20260827,A0017J0,KR70017J0004,1348110292970,KOSDAQ,세미티에스,주식회사 세미티에스
20260827,A001800,KR7001800002,1101110004690,KOSPI,오리온홀딩스,(주)오리온홀딩스
20260827,A001810,KR7001810001,1701110001082,KOSDAQ,무림SP,무림에스피(주)
20260827,A001820,KR7001820000,1345110003696,KOSPI,삼화콘덴서,삼화콘덴서공업(주)
20260827,A001840,KR7001840008,1101110033839,KOSDAQ,이화공영,이화공영(주)
20260827,A001940,KR7001940006,1901110001872,KOSPI,KISCO홀딩스,KISCO홀딩스(주)
20260827,A002020,KR7002020006,1101110030528,KOSPI,코오롱,(주)코오롱
20260827,A002030,KR7002030005,1101110030710,KOSPI,아세아,아세아(주)
20260827,A002070,KR7002070001,1101110030934,KOSPI,비비안,(주)비비안
20260827,A002100,KR7002100006,1101110089395,KOSPI,경농,(주)경농
20260827,A002140,KR7002140002,1801110001494,KOSPI,고려산업,고려산업(주)
20260827,A002150,KR7002150001,1101110037740,KOSPI,도화엔지니어링,(주)도화엔지니어링
20260827,A002170,KR7002170009,1101110033433,KOSPI,SYTS,에스와이티에스(주)
20260827,A002200,KR7002200004,1101110008882,KOSPI,한국수출포장,한국수출포장공업(주)
20260827,A002210,KR7002210003,1101110008200,KOSPI,동성제약,동성제약(주)
20260827,A002220,KR7002220002,1101110048987,KOSPI,한일철강,한일철강(주)
20260827,A002230,KR7002230001,1101110033623,KOSDAQ,피에스텍,피에스텍(주)
20260827,A002240,KR7002240000,1801110001220,KOSPI,고려제강,고려제강(주)
