month,state,close,vix,vk
1996-06,0,670.6300048828125,13.68,
1996-07,0,639.9500122070312,19.46,
1996-08,0,651.989990234375,17.01,
1996-09,0,687.3300170898438,16.95,
1996-10,0,705.27001953125,18.11,
1996-11,0,757.02001953125,17.14,
1996-12,0,740.739990234375,20.92,
1997-01,0,786.1599731445312,19.47,
1997-02,0,790.8200073242188,21.1,
1997-03,1,757.1199951171875,22.14,
1997-04,1,801.3400268554688,20.06,
1997-05,1,848.280029296875,19.19,
1997-06,1,885.1400146484375,21.53,
1997-07,1,954.3099975585938,21.48,
1997-08,1,899.469970703125,24.76,
1997-09,1,947.280029296875,22.91,
1997-10,1,914.6199951171875,35.09,
1997-11,1,955.4000244140625,27.43,
1997-12,1,970.4299926757812,24.01,
1998-01,1,980.280029296875,21.47,
1998-02,1,1049.3399658203125,18.55,
1998-03,0,1101.75,24.22,
1998-04,1,1111.75,21.18,
1998-05,1,1090.8199462890625,21.32,
1998-06,0,1133.8399658203125,19.71,
1998-07,1,1120.6700439453125,24.8,
1998-08,1,957.280029296875,44.28,
1998-09,1,1017.010009765625,40.95,
1998-10,0,1098.6700439453125,28.05,
1998-11,0,1163.6300048828125,26.01,
1998-12,0,1229.22998046875,24.42,
1999-01,0,1279.6400146484375,26.25,
1999-02,0,1238.3299560546875,27.88,
1999-03,0,1286.3699951171875,23.26,
1999-04,0,1335.1800537109375,25.07,
1999-05,0,1301.8399658203125,25.39,
1999-06,0,1372.7099609375,21.09,
1999-07,0,1328.719970703125,24.64,
1999-08,0,1320.4100341796875,24.45,
1999-09,0,1282.7099609375,25.41,
1999-10,0,1362.9300537109375,22.2,
1999-11,1,1388.9100341796875,24.18,
1999-12,1,1469.25,24.64,
2000-01,1,1394.4599609375,24.95,
2000-02,2,1366.4200439453125,23.37,
2000-03,2,1498.5799560546875,24.11,
2000-04,3,1452.4300537109375,26.2,
2000-05,1,1420.5999755859375,23.65,
2000-06,0,1454.5999755859375,19.54,
2000-07,0,1430.8299560546875,20.74,
2000-08,0,1517.6800537109375,16.84,
2000-09,0,1436.510009765625,20.57,
2000-10,1,1429.4000244140625,23.63,
2000-11,1,1314.949951171875,29.65,
2000-12,1,1320.280029296875,26.85,
2001-01,0,1366.010009765625,22.02,
2001-02,1,1239.93994140625,28.35,
2001-03,1,1160.3299560546875,28.64,
2001-04,1,1249.4599609375,25.48,
2001-05,0,1255.8199462890625,22.64,
2001-06,0,1224.3800048828125,19.06,
2001-07,0,1211.22998046875,21.62,
2001-08,0,1133.5799560546875,24.92,
2001-09,1,1040.93994140625,31.93,
2001-10,0,1059.780029296875,33.56,
2001-11,0,1139.449951171875,23.84,
2001-12,0,1148.0799560546875,23.8,
2002-01,0,1130.199951171875,21.09,
2002-02,0,1106.72998046875,21.59,
2002-03,0,1147.3900146484375,17.4,
2002-04,0,1076.9200439453125,21.91,
2002-05,0,1067.1400146484375,19.98,
2002-06,0,989.8200073242188,25.4,
2002-07,1,911.6199951171875,32.03,
2002-08,0,916.0700073242188,32.64,
2002-09,1,815.280029296875,39.69,
2002-10,0,885.760009765625,31.14,
2002-11,0,936.3099975585938,27.5,
2002-12,0,879.8200073242188,28.62,
2003-01,0,855.7000122070312,31.17,
2003-02,0,841.1500244140625,29.63,
2003-03,0,848.1799926757812,29.15,
2003-04,0,916.9199829101562,21.21,
2003-05,0,963.5900268554688,19.47,
2003-06,0,974.5,19.52,
2003-07,0,990.3099975585938,19.49,
2003-08,0,1008.010009765625,18.63,
2003-09,0,995.969970703125,22.72,
2003-10,0,1050.7099609375,16.1,
2003-11,0,1058.199951171875,16.32,
2003-12,0,1111.9200439453125,18.31,
2004-01,0,1131.1300048828125,16.63,
2004-02,0,1144.93994140625,14.55,
2004-03,1,1126.2099609375,16.74,
2004-04,1,1107.300048828125,17.19,
2004-05,1,1120.6800537109375,15.5,
2004-06,0,1140.8399658203125,14.34,
2004-07,0,1101.719970703125,15.32,
2004-08,0,1104.239990234375,15.29,
2004-09,0,1114.5799560546875,13.34,
2004-10,0,1130.199951171875,16.27,
2004-11,0,1173.8199462890625,13.24,
2004-12,0,1211.9200439453125,13.29,
2005-01,0,1181.27001953125,12.82,
2005-02,0,1203.5999755859375,12.08,
2005-03,0,1180.5899658203125,14.02,
2005-04,1,1156.8499755859375,15.31,
2005-05,0,1191.5,13.29,
2005-06,0,1191.3299560546875,12.04,
2005-07,1,1234.1800537109375,11.57,
2005-08,0,1220.3299560546875,12.6,
2005-09,0,1228.81005859375,11.92,
2005-10,1,1207.010009765625,15.32,
2005-11,1,1249.47998046875,12.06,
2005-12,0,1248.2900390625,12.07,
2006-01,1,1280.0799560546875,12.95,
2006-02,0,1280.6600341796875,12.34,
2006-03,0,1294.8699951171875,11.39,
2006-04,0,1310.6099853515625,11.59,
2006-05,0,1270.0899658203125,16.44,
2006-06,1,1270.199951171875,13.08,
2006-07,1,1276.6600341796875,14.95,
2006-08,0,1303.8199462890625,12.31,
2006-09,0,1335.8499755859375,11.98,
2006-10,0,1377.93994140625,11.1,
2006-11,0,1400.6300048828125,10.91,
2006-12,0,1418.300048828125,11.56,
2007-01,0,1438.239990234375,10.42,
2007-02,0,1406.8199462890625,15.42,
2007-03,0,1420.8599853515625,14.64,
2007-04,0,1482.3699951171875,14.22,
2007-05,0,1530.6199951171875,13.05,
2007-06,0,1503.3499755859375,16.23,
2007-07,1,1455.27001953125,23.52,
2007-08,2,1473.989990234375,23.38,
2007-09,1,1526.75,18.0,
2007-10,1,1549.3800048828125,18.53,
2007-11,1,1481.1400146484375,22.87,
2007-12,1,1468.3599853515625,22.5,
2008-01,2,1378.550048828125,26.2,
2008-02,2,1330.6300048828125,26.54,
2008-03,2,1322.699951171875,25.61,
2008-04,1,1385.5899658203125,20.79,
2008-05,1,1400.3800048828125,17.83,
2008-06,1,1280.0,23.95,
2008-07,1,1267.3800048828125,22.94,
2008-08,1,1282.8299560546875,20.65,
2008-09,3,1166.3599853515625,39.39,
2008-10,3,968.75,59.89,
2008-11,1,896.239990234375,55.84,
2008-12,1,903.25,40.0,
2009-01,1,825.8800048828125,44.84,
2009-02,1,735.0900268554688,46.35,
2009-03,1,797.8699951171875,44.14,
2009-04,0,872.8099975585938,36.5,
2009-05,0,919.1400146484375,28.92,
2009-06,0,919.3200073242188,26.35,
2009-07,0,987.47998046875,25.92,
2009-08,0,1020.6199951171875,26.01,
2009-09,0,1057.0799560546875,25.61,
2009-10,0,1036.18994140625,30.69,
2009-11,0,1095.6300048828125,24.51,
2009-12,0,1115.0999755859375,21.68,
2010-01,0,1073.8699951171875,24.62,
2010-02,0,1104.489990234375,19.5,
2010-03,0,1169.4300537109375,17.59,
2010-04,0,1186.68994140625,22.05,
2010-05,1,1089.4100341796875,32.07,
2010-06,1,1030.7099609375,34.54,
2010-07,0,1101.5999755859375,23.5,
2010-08,1,1049.3299560546875,26.05,
2010-09,0,1141.199951171875,23.7,
2010-10,0,1183.260009765625,21.2,
2010-11,0,1180.550048828125,23.54,
2010-12,0,1257.6400146484375,17.75,
2011-01,0,1286.1199951171875,19.53,
2011-02,0,1327.219970703125,18.35,
2011-03,0,1325.8299560546875,17.74,
