month,state,close,vix,vk
1996-12,0,651.219970703125,18.59,
1997-01,0,685.8400268554688,19.47,
1997-02,1,676.530029296875,21.08,
1997-03,1,677.3400268554688,20.5,
1997-04,0,703.22998046875,19.81,
1997-05,0,746.3599853515625,19.02,
1997-06,0,745.4000244140625,21.22,
1997-07,1,726.1199951171875,21.39,
1997-08,1,704.27001953125,24.51,
1997-09,1,647.1099853515625,22.23,
1997-10,2,470.7900085449219,38.2,
1997-11,2,411.9100036621094,28.95,
1997-12,2,375.1499938964844,30.27,
1998-01,1,558.3300170898438,21.65,
1998-02,1,548.4199829101562,18.63,
1998-03,1,481.0400085449219,24.66,
1998-04,1,421.2200012207031,22.78,
1998-05,1,336.6300048828125,20.74,
1998-06,1,297.8800048828125,19.57,
1998-07,1,343.3299865722656,22.66,
1998-08,1,310.1600036621094,39.6,
1998-09,1,310.32000732421875,36.08,
1998-10,0,384.75,29.5,
1998-11,0,451.8800048828125,22.09,
1998-12,0,562.4600219726562,21.48,
1999-01,0,571.4299926757812,28.11,
1999-02,0,520.0599975585938,28.01,
1999-03,0,618.97998046875,22.73,
1999-04,0,752.5900268554688,25.06,
1999-05,0,736.02001953125,25.39,
1999-06,0,883.0,22.51,
1999-07,0,969.719970703125,24.52,
1999-08,0,937.8800048828125,24.63,
1999-09,0,836.1799926757812,26.49,
1999-10,0,833.510009765625,21.34,
1999-11,1,996.6599731445312,23.57,
1999-12,1,1028.0699462890625,23.07,
2000-01,3,943.8800048828125,26.14,
2000-02,3,828.3800048828125,24.68,
2000-03,2,860.9400024414062,25.47,
2000-04,3,725.3900146484375,26.19,
2000-05,1,731.8800048828125,23.62,
2000-06,0,821.219970703125,19.7,
2000-07,0,705.969970703125,20.84,
2000-08,0,688.6199951171875,17.69,
2000-09,0,613.219970703125,19.47,
2000-10,1,514.47998046875,25.46,
2000-11,1,509.2300109863281,27.49,
2000-12,1,504.6199951171875,27.55,
2001-01,0,617.9099731445312,22.57,
2001-02,1,578.0999755859375,26.49,
2001-03,1,523.219970703125,29.17,
2001-04,1,577.3599853515625,24.02,
2001-05,0,612.1599731445312,22.76,
2001-06,0,595.1300048828125,20.01,
2001-07,0,541.5499877929688,22.69,
2001-08,0,545.1099853515625,25.41,
2001-09,1,479.67999267578125,34.0,
2001-10,0,537.8099975585938,33.46,
2001-11,0,643.8900146484375,25.18,
2001-12,0,693.7000122070312,21.59,
2002-01,0,748.0700073242188,23.22,
2002-02,0,819.989990234375,21.49,
2002-03,0,895.5800170898438,17.4,
2002-04,0,842.3400268554688,24.05,
2002-05,0,796.4000244140625,20.61,
2002-06,0,742.719970703125,26.29,
2002-07,1,717.989990234375,31.92,
2002-08,0,736.4000244140625,33.67,
2002-09,1,646.4199829101562,36.97,
2002-10,0,658.9199829101562,31.23,
2002-11,0,724.7999877929688,27.25,
2002-12,0,627.5499877929688,29.55,
2003-01,3,591.8599853515625,31.26,
2003-02,1,575.4299926757812,30.53,
2003-03,2,535.7000122070312,27.75,
2003-04,0,599.3499755859375,20.76,
2003-05,0,633.4199829101562,20.43,
2003-06,0,669.9299926757812,19.16,
2003-07,0,713.52001953125,18.85,
2003-08,0,759.469970703125,18.48,
2003-09,0,697.52001953125,21.67,
2003-10,0,782.3599853515625,16.33,
2003-11,0,796.1799926757812,16.23,
2003-12,0,810.7100219726562,17.09,
2004-01,0,848.5,17.14,
2004-02,0,883.4199829101562,14.83,
2004-03,1,880.5,16.28,
2004-04,1,862.8400268554688,16.6,
2004-05,1,803.8400268554688,15.5,
2004-06,0,785.7899780273438,15.47,
2004-07,0,735.3400268554688,15.68,
2004-08,0,803.5700073242188,15.44,
2004-09,0,835.0900268554688,13.21,
2004-10,0,834.8400268554688,15.39,
2004-11,0,878.0599975585938,13.3,
2004-12,0,895.9199829101562,11.62,
2005-01,0,932.7000122070312,13.24,
2005-02,0,1011.3599853515625,11.49,
2005-03,0,965.6799926757812,13.64,
2005-04,1,911.2999877929688,16.86,
2005-05,0,970.2100219726562,12.15,
2005-06,0,1008.1599731445312,11.77,
2005-07,1,1111.2900390625,10.52,
2005-08,0,1083.3299560546875,13.65,
2005-09,0,1221.010009765625,12.24,
2005-10,1,1158.1099853515625,14.25,
2005-11,1,1297.43994140625,11.89,
2005-12,0,1379.3699951171875,11.35,
2006-01,1,1399.8299560546875,12.39,
2006-02,0,1371.5899658203125,11.59,
2006-03,0,1359.5999755859375,11.57,
2006-04,0,1419.72998046875,11.84,
2006-05,0,1317.699951171875,14.26,
2006-06,1,1295.1500244140625,13.03,
2006-07,1,1297.8199462890625,14.33,
2006-08,0,1352.739990234375,12.22,
2006-09,0,1371.4100341796875,11.72,
2006-10,0,1364.550048828125,11.2,
2006-11,0,1432.2099609375,10.83,
2006-12,0,1434.4599609375,10.64,
2007-01,0,1360.22998046875,10.96,
2007-02,0,1417.3399658203125,18.31,
2007-03,0,1452.550048828125,15.14,
2007-04,0,1542.239990234375,12.45,
2007-05,0,1700.9100341796875,12.83,
2007-06,0,1743.5999755859375,15.54,
2007-07,0,1933.27001953125,20.87,
2007-08,1,1873.239990234375,25.06,
2007-09,1,1946.47998046875,17.0,
2007-10,1,2064.85009765625,21.07,
2007-11,3,1906.0,23.97,
2007-12,1,1897.1300048828125,20.26,
2008-01,3,1624.6800537109375,27.62,
2008-02,2,1711.6199951171875,23.53,
2008-03,2,1703.989990234375,25.71,
2008-04,1,1825.469970703125,20.24,
2008-05,1,1852.02001953125,18.14,
2008-06,1,1674.9200439453125,23.44,
2008-07,2,1594.6700439453125,21.21,
2008-08,1,1474.239990234375,19.43,
2008-09,2,1448.06005859375,46.72,
2008-10,3,1113.06005859375,62.9,
2008-11,1,1076.0699462890625,54.92,
2008-12,1,1124.469970703125,43.9,
2009-01,1,1162.1099853515625,42.63,
2009-02,1,1063.030029296875,44.66,
2009-03,1,1206.260009765625,45.54,
2009-04,0,1369.3599853515625,36.08,
2009-05,0,1395.8900146484375,31.67,
2009-06,0,1390.0699462890625,25.35,
2009-07,0,1557.2900390625,25.4,
2009-08,0,1591.8499755859375,24.76,
2009-09,0,1673.1400146484375,25.19,
2009-10,0,1580.68994140625,24.76,
2009-11,0,1555.5999755859375,24.85,
2009-12,0,1682.77001953125,20.01,
2010-01,0,1602.43,23.73,23.29
2010-02,0,1594.58,20.1,20.59
2010-03,0,1692.85,17.13,17.68
2010-04,0,1741.56,18.44,18.27
2010-05,2,1641.25,32.07,24.01
2010-06,1,1698.29,34.13,21.9
2010-07,1,1759.33,24.13,19.26
2010-08,1,1742.75,27.21,18.79
2010-09,0,1872.81,23.25,16.77
2010-10,0,1882.95,20.88,18.6
2010-11,0,1904.63,21.53,22.76
2010-12,0,2051.0,17.28,15.83
2011-01,0,2069.73,20.04,16.3
2011-02,0,1939.3,19.22,20.06
2011-03,0,2106.7,17.71,16.57
2011-04,0,2192.36,14.62,18.36
2011-05,0,2142.47,15.98,18.56
2011-06,0,2100.69,17.27,19.24
2011-07,2,2133.21,23.74,21.0
2011-08,3,1880.11,32.89,28.05
2011-09,3,1769.65,38.84,40.56
2011-10,2,1909.03,24.53,31.02
2011-11,2,1847.51,30.64,29.04
2011-12,1,1825.74,23.52,26.4
2012-01,1,1955.79,19.4,23.36
2012-02,0,2030.25,17.96,19.4
2012-03,0,2014.04,15.48,17.56
2012-04,0,1981.99,16.32,17.31
2012-05,1,1843.47,24.14,22.69
2012-06,1,1854.01,19.71,20.03
2012-07,0,1881.99,18.03,20.32
2012-08,0,1905.12,17.83,20.35
2012-09,0,1996.21,14.84,17.23
2012-10,0,1912.06,17.81,18.37
2012-11,0,1932.9,15.06,14.87
2012-12,0,1997.05,19.47,15.89
2013-01,0,1961.94,14.32,15.18
2013-02,0,2026.49,14.73,15.19
2013-03,0,2004.89,12.7,14.34
2013-04,0,1963.95,13.71,14.74
2013-05,0,2001.05,14.53,14.16
2013-06,2,1863.32,16.86,17.11
2013-07,1,1914.03,13.39,16.26
2013-08,0,1926.36,16.81,15.73
2013-09,0,1996.96,15.46,15.38
2013-10,0,2030.09,13.65,14.41
2013-11,0,2044.87,12.98,14.42
2013-12,0,2011.34,12.46,12.84
2014-01,0,1941.15,15.8,14.43
2014-02,0,1979.99,14.04,13.49
2014-03,0,1985.61,14.41,13.82
2014-04,0,1961.79,13.71,11.6
2014-05,0,1994.96,11.57,10.86
2014-06,0,2002.21,11.26,11.48
2014-07,0,2076.12,13.33,12.69
2014-08,0,2068.54,12.05,10.86
2014-09,1,2020.09,15.98,12.69
2014-10,1,1964.43,14.52,13.99
2014-11,1,1980.78,12.07,11.59
2014-12,1,1915.59,15.06,12.97
2015-01,1,1949.26,18.76,13.67
2015-02,1,1985.8,13.91,11.11
2015-03,1,2041.03,14.51,11.09
2015-04,0,2127.17,13.39,11.76
2015-05,0,2114.8,13.31,12.59
2015-06,1,2074.2,18.85,14.45
2015-07,1,2030.16,12.13,13.54
